KEY,latitude,longitude,status_code,出土状況,古墳特定,集成編年,時期,コメント,文献
京都・内里,34.85635994,135.72606,3,0,0,-,不明,八幡市。築造時期・墳形・内部構造・出土遺物・発掘状況などは明らかにされていません「本鏡は山城綴喜郡有智郷村字内里...。」[1],[1]◆会報第78号より-03　古墳と鏡② : Y-rekitan 八幡 https://yrekitan.exblog.jp/27651938/ 、
奈良・円照寺裏山,34.64378744,135.8453782,3,0,0,-,不明,恐らく古墳不明。円照寺裏山古墳出土として伝わるもので、鏡が出土するような古墳が他にもあった可能性を示す[1]。,[1] 奈良市教育委員会文化財課埋蔵文化財調査センター 2022 『奈良市埋蔵文化財調査研究報告６：ベンショ塚古墳発掘調査報告書』奈良市教育委員会 https://sitereports.nabunken.go.jp/122039
広島・津之郷町,34.48496659,133.3223768,3,0,0,-,不明,三角縁みつからず古墳不明。坂部第3号古墳 坂部第6号古墳 ６世紀後半から７世紀初頭頃の古墳[1]。沢田第2号古墳 古墳は7世紀後半まで，8世紀古墳再利用（木棺火葬）[2]。 ,[1] 財団法人広島県埋蔵文化財調査センター 1991 『山陽自動車道建設に伴う埋蔵文化財発掘調査報告（6）』広島県埋蔵文化財調査センター調査報告書91  https://sitereports.nabunken.go.jp/29927 。[2] 財団法人広島県埋蔵文化財調査センター 1991 『広島県埋蔵文化財調査センター調査報告書92：山陽自動車道建設に伴う埋蔵文化財発掘調査報告（7）』財団法人広島県埋蔵文化財調査センター https://sitereports.nabunken.go.jp/29928 。
福岡・御陵,33.55526104,130.4860244,3,0,0,NA,不明,前期古墳を含む15基の古墳を検出。また付近で江戸時代に出土した三角縁神獣鏡についても報告 - 三角縁神獣鏡は御陵古墳群のうち赤坂山支群の出土とみられるが、出土古墳を特定することはできないとのこと[1]。 ,[1] 舟山良一・横大路俊明・後藤秀規、大野城市教育委員会 1984 『大野城市文化財調査報告書13：御陵古墳群』大野城市教育委員会  https://sitereports.nabunken.go.jp/58297 。
香川・西山,34.30854225,134.2091781,3,0,0,-,不明,西山古墳群（3基）[1]。  仲多度郡多度津町 消滅，三角縁神獣鏡[2]。  古墳時代前半[3]。,[1] 香川県教育員会事務局 1992 『埋蔵文化財試掘調査報告　55』香川県教育員会事務局 https://sitereports.nabunken.go.jp/10714 。[2]  財団法人香川県埋蔵文化財調査センタ‐ 2000 『県道・河川関係埋蔵文化財発掘調査概報平成11年度』香川県教育委員会/財団法人香川県埋蔵文化財調査センター https://sitereports.nabunken.go.jp/10501 。[3] 香川県埋蔵文化財調査センター 2000 『高松東道路建設に伴う埋蔵文化財発掘調査報告8：野午古墳・末3号窯跡』香川県教育委員会他  https://sitereports.nabunken.go.jp/10824 。
兵庫・安田,34.81477542,134.6852793,3,0,1,-,不明,姫路市安田[1]。年代不明。「その出土状況は不明な点が多い。」「造成されて痕跡も見いだせない」[2]。,[1] 兵庫県内古鏡集成表 兵庫県立考古博物館(2017)   https://www.hyogo-koukohaku.jp/kodaikyou/modules/xelfinder/index.php?page=view&file=108&hyogokagami20180223-1.pdf 。[2]加藤史郎　２０１０「安田古墳」『姫路市史』第７巻下p.284-285　姫路市  https://ndlonline.ndl.go.jp/#!/detail/R300000001-I024417276-00 。 
千葉・城山1号,35.857529,140.589597,2,0,1,10,古墳後期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・久津川箱塚(前方部主体),34.86239,135.773658,2,0,1,6,古墳中期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・久津川車塚,34.86472,135.778774,2,0,1,5,古墳中期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
京都・芝ヶ原11号(第1主体),34.861167,135.781321,2,0,1,-,古墳中期?,粘土槨(3-)、造り出し(4-)、須恵器(6-)。「10・11号墳とも粘土槨を持つこと確認。11号墳には造り出し部があることを確認」[1]。「主な遺物 須恵器土師器」[1]。,[1] 城陽市教育委員会 1983 『城陽市埋蔵文化財調査報告書12：城陽市埋蔵文化財調査報告書』城陽市教育委員会 https://sitereports.nabunken.go.jp/ja/53972
兵庫・水堂,34.740172,135.392095,2,0,1,5,古墳中期,,[0]前方後円墳データベース https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html  。
